"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000085831",1659.16521261305,-0.217911865575781,0.0483938757343398,-4.50288104164289,6.7038411780059e-06,6.19831294769915e-05,"TTC39A","22996"
"ENSG00000261664",30.5895447847272,-0.588667529560885,0.151796442075008,-3.87800610814056,0.000105316073793153,0.000786818119387508,"TTC39A-AS1","102724097"
"ENSG00000085832",586.357000842964,-0.372802409217681,0.0707771736216924,-5.26726895326915,1.38468268207567e-07,1.59540778047055e-06,"EPS15","2060"
"ENSG00000117859",1416.97922424975,-0.313868357557171,0.0500485104665133,-6.2712826941608,3.58085798516333e-10,5.31755491794619e-09,"OSBPL9","114883"
"ENSG00000162377",194.412445217368,-0.456872663649147,0.0882306527997616,-5.17816256767378,2.24081928722086e-07,2.51592797604903e-06,"COA7","65260"
"ENSG00000162378",468.897034346068,-0.467196176860908,0.0910742353453842,-5.1298391371516,2.89989882477764e-07,3.20783219299754e-06,"ZYG11B","79699"
"ENSG00000116171",962.273850818193,-0.207985869518789,0.0413164569328826,-5.0339715686816,4.80420955661055e-07,5.15787085678723e-06,"SCP2","6342"
"ENSG00000236360",26.9580742021111,-0.613473723729981,0.149237643701856,-4.11071703165969,3.94432340233452e-05,0.000317816811511165,NA,NA
"ENSG00000157184",455.452814162091,-0.196300710461116,0.0482323950780393,-4.06989348431701,4.70346370919645e-05,0.000373875442862402,"CPT2","1376"
"ENSG00000270172",37.7099743911417,-1.05022611726554,0.151471335206944,-6.9334974556783,4.10561299526664e-12,7.12822907887459e-11,NA,NA
"ENSG00000157193",225.882934263574,-0.726157769621332,0.0883871054773728,-8.21565278893797,2.11013189534881e-16,4.70787075846341e-15,"LRP8","7804"
"ENSG00000058804",1611.11436098489,-0.174482748413402,0.0675145454050464,-2.58437270615704,0.00975563087416425,0.0436013760521115,"NDC1","55706"
"ENSG00000081870",933.946151517965,-0.556689333201283,0.0500276119027192,-11.1276415569024,9.20384880741837e-29,3.4279388501823e-27,"HSPB11","51668"
"ENSG00000116212",587.271043485178,-0.386259239372358,0.049803866420487,-7.75560748860794,8.79215711584712e-15,1.79801235188283e-13,"LRRC42","115353"
"ENSG00000116133",12590.9714968658,-0.430394755415187,0.03733744189608,-11.5271623753199,9.6264534910417e-31,3.84919229778882e-29,"DHCR24","1718"
"ENSG00000242396",666.711348384593,-0.430487926606764,0.0857481588245015,-5.02037516033239,5.15706585880234e-07,5.51746312538274e-06,NA,NA
"ENSG00000162409",183.542936655951,-0.509385720297841,0.0851821334885559,-5.97995963984955,2.23192913652531e-09,3.09543325190772e-08,"PRKAA2","5563"
"ENSG00000187889",115.728791324056,-0.464523890480057,0.0955254996373427,-4.86282607516942,1.15721523538465e-06,1.18457459078348e-05,"C1orf168","199920"
"ENSG00000177606",2112.89320339112,-1.66003358643369,0.0802197616294173,-20.6935741607207,3.95761565442247e-95,6.16098481932846e-93,"JUN","3725"
"ENSG00000134709",548.565460942796,-0.452747889600175,0.0972287871921004,-4.65652100242344,3.21597486402263e-06,3.10504053944485e-05,"HOOK1","51361"
"ENSG00000162599",982.237526874287,-0.435045703947013,0.0536288210468888,-8.11216236819085,4.97267919909546e-16,1.08327783496018e-14,"NFIA","4774"
"ENSG00000079739",424.014520363201,-0.188008881722221,0.0701630899475041,-2.67959808872285,0.00737106036616961,0.0343107815801377,"PGM1","5236"
"ENSG00000158966",45.6191279544032,-0.464528155012442,0.124030370358791,-3.74527749670239,0.000180194489758593,0.00128161943306227,"CACHD1","57685"
"ENSG00000162437",283.328417762593,-0.267061090964187,0.0716946692099673,-3.72497835483505,0.000195331981627652,0.0013800737406686,"RAVER2","55225"
"ENSG00000162433",1155.14799644024,-1.46926209768805,0.0550161006915251,-26.7060384000348,4.00497689963336e-157,1.42279371652359e-154,"AK4","205"
"ENSG00000116675",294.296243092965,-1.09831552790111,0.0946209089112031,-11.6075351689109,3.77336301466519e-31,1.52865334994696e-29,"DNAJC6","9829"
"ENSG00000213625",727.236485829931,-0.382065785765156,0.0610444432535779,-6.25881350376248,3.87917429270548e-10,5.7451587199823e-09,"LEPROT","54741"
"ENSG00000198160",292.568445060037,-0.353770309545954,0.0793723523616102,-4.45709745295468,8.30768421641717e-06,7.53291654571072e-05,"MIER1","57708"
"ENSG00000228523",15.0383933203966,-0.623882880126593,0.189021776363602,-3.30058732982433,0.000964826812289165,0.00583359174526135,NA,NA
"ENSG00000142864",1878.38813633131,-0.16909391166604,0.0467027601869296,-3.62064064284926,0.000293874450963118,0.00201515987037565,"SERBP1","26135"
"ENSG00000116717",85.8760574031566,-1.54216230328901,0.108843195606709,-14.1686606562106,1.43205742833308e-45,8.49728294199351e-44,"GADD45A","1647"
"ENSG00000235079",63.1252838639108,-0.319671869933276,0.110734625657612,-2.88682846972988,0.00389146318578154,0.0198075762083039,NA,NA
"ENSG00000116791",533.4306033537,-0.422965829382224,0.0548306029126894,-7.71404666214854,1.21889876412531e-14,2.46537844919067e-13,"CRYZ","1429"
"ENSG00000162623",254.32414072559,-0.263964809187107,0.0660452034483166,-3.9967294429439,6.42236320037747e-05,0.000497800515475412,"TYW3","127253"
"ENSG00000077254",662.73648161162,-0.718601502427837,0.0728046711314464,-9.87026644389927,5.60156183997114e-23,1.67986232235498e-21,"USP33","23032"
"ENSG00000180488",146.68891762992,-0.27841606372779,0.1089475929139,-2.55550449790863,0.0106033990686081,0.0467419962123975,"MIGA1","374986"
"ENSG00000162616",409.741778966975,-2.16227803599326,0.0979747781247163,-22.0697415945235,6.17433700301417e-108,1.16388352621444e-105,"DNAJB4","11080"
"ENSG00000162642",156.182805588703,-0.224588656512404,0.0786920023755226,-2.85402137107472,0.00431696271647777,0.0216590687803004,"C1orf52","148423"
"ENSG00000142867",227.735891760059,-1.25460620006414,0.0752311185358137,-16.6766920987209,1.9364933066439e-62,1.72540930955313e-60,"BCL10","8915"
"ENSG00000153904",716.325305585522,-0.377799982734746,0.0635588809167148,-5.94409431515638,2.77989518026246e-09,3.82287322308054e-08,"DDAH1","23576"
"ENSG00000142871",4929.76075029275,-2.14010134827452,0.0753234407956368,-28.4121559725467,1.431058761283e-177,6.29438702780189e-175,"CYR61","3491"
"ENSG00000117174",354.763115438911,-0.332659750980605,0.0540402987043266,-6.15577187684884,7.47127035715659e-10,1.08052662628815e-08,"ZNHIT6","54680"
"ENSG00000213516",419.878355524351,-0.527042126674564,0.0726172218743824,-7.25781175691728,3.93402507873697e-13,7.2674556621201e-12,"RBMXL1","494115"
"ENSG00000117228",66.756052139127,-0.421370750021556,0.128900425090784,-3.26896323053074,0.00107942327725866,0.00643243419630914,"GBP1","2633"
"ENSG00000197147",377.823523449132,-0.518632473725229,0.0858092205499456,-6.04401800181085,1.50322728089055e-09,2.10908495966972e-08,"LRRC8B","23507"
"ENSG00000231999",14.7248541843931,-0.842351617420954,0.206768701054581,-4.07388358646504,4.62355992949386e-05,0.000368157602431825,"FLJ27354","400761"
"ENSG00000171488",7.94476492921804,-1.1941823761609,0.2423329958549,-4.92785710814196,8.3136380349171e-07,8.67360353718196e-06,"LRRC8C","84230"
"ENSG00000122482",405.236134880253,-0.749640829959828,0.0917786993013471,-8.16791734537934,3.13758755231864e-16,6.91667072989256e-15,"ZNF644","84146"
"ENSG00000069702",79.4204358688715,-0.553471791985701,0.106306852479013,-5.20636044694264,1.92580400625847e-07,2.17812363320091e-06,"TGFBR3","7049"
"ENSG00000117505",682.188898379413,-0.159591752579294,0.0606611046691906,-2.63087448620681,0.00851654826928972,0.0388147290365161,"DR1","1810"
"ENSG00000137942",1012.94015342539,-0.47728996177291,0.0763719279202373,-6.24954711463341,4.11644555412074e-10,6.0738395263411e-09,"FNBP1L","54874"
