"X"	"DE"
"160"	"ENSG00000131697"	FALSE
"161"	"ENSG00000069424"	FALSE
"162"	"ENSG00000268332"	FALSE
"163"	"ENSG00000116254"	FALSE
"164"	"ENSG00000116251"	FALSE
"165"	"ENSG00000226944"	FALSE
"166"	"ENSG00000158286"	FALSE
"167"	"ENSG00000116237"	FALSE
"168"	"ENSG00000225077"	FALSE
"169"	"ENSG00000158292"	TRUE
"170"	"ENSG00000097021"	FALSE
"171"	"ENSG00000271746"	FALSE
"172"	"ENSG00000069812"	TRUE
"173"	"ENSG00000187017"	TRUE
"174"	"ENSG00000231868"	TRUE
"175"	"ENSG00000215788"	TRUE
"176"	"ENSG00000171680"	TRUE
"177"	"ENSG00000162408"	FALSE
"178"	"ENSG00000173662"	FALSE
"179"	"ENSG00000204859"	FALSE
"180"	"ENSG00000162413"	FALSE
"181"	"ENSG00000116273"	TRUE
"182"	"ENSG00000041988"	FALSE
"183"	"ENSG00000007923"	FALSE
"184"	"ENSG00000228750"	FALSE
"185"	"ENSG00000237436"	FALSE
"186"	"ENSG00000171735"	TRUE
"187"	"ENSG00000270171"	FALSE
"188"	"ENSG00000270035"	FALSE
"189"	"ENSG00000269978"	FALSE
"190"	"ENSG00000049245"	TRUE
"191"	"ENSG00000269925"	FALSE
"192"	"ENSG00000049246"	FALSE
"193"	"ENSG00000236266"	FALSE
"194"	"ENSG00000049247"	TRUE
"195"	"ENSG00000049249"	FALSE
"196"	"ENSG00000116288"	FALSE
"197"	"ENSG00000200344"	FALSE
"198"	"ENSG00000116285"	TRUE
"199"	"ENSG00000238290"	FALSE
"200"	"ENSG00000232848"	FALSE
"201"	"ENSG00000265414"	FALSE
"202"	"ENSG00000162426"	TRUE
"203"	"ENSG00000142599"	TRUE
"204"	"ENSG00000232912"	FALSE
"205"	"ENSG00000234619"	FALSE
"206"	"ENSG00000224315"	FALSE
"207"	"ENSG00000228423"	FALSE
"208"	"ENSG00000074800"	FALSE
"209"	"ENSG00000236269"	FALSE
"210"	"ENSG00000230679"	FALSE
"211"	"ENSG00000238249"	FALSE
"212"	"ENSG00000232208"	FALSE
"213"	"ENSG00000131686"	FALSE
"214"	"ENSG00000197241"	FALSE
"215"	"ENSG00000142583"	FALSE
"216"	"ENSG00000180758"	FALSE
"217"	"ENSG00000228526"	FALSE
"218"	"ENSG00000234546"	FALSE
"219"	"ENSG00000049239"	TRUE
"220"	"ENSG00000171621"	TRUE
"221"	"ENSG00000171612"	TRUE
"222"	"ENSG00000231181"	FALSE
"223"	"ENSG00000188807"	TRUE
"224"	"ENSG00000171608"	TRUE
"225"	"ENSG00000231789"	FALSE
"226"	"ENSG00000171603"	TRUE
"227"	"ENSG00000178585"	TRUE
"228"	"ENSG00000223989"	FALSE
"229"	"ENSG00000162441"	FALSE
"230"	"ENSG00000228150"	FALSE
"231"	"ENSG00000173614"	FALSE
"232"	"ENSG00000162444"	FALSE
"233"	"ENSG00000225786"	FALSE
"234"	"ENSG00000130939"	FALSE
"235"	"ENSG00000054523"	FALSE
